который NPRO,nomn,sing,masc
которого NPRO,gent,sing,masc
которому NPRO,datv,sing,masc
которым NPRO,ablt,sing,masc
котором NPRO,loct,sing,masc
которое NPRO,nomn,sing,neut
которая NPRO,nomn,sing,femn
которой NPRO,gent,sing,femn
которую NPRO,accs,sing,femn
которые NPRO,nomn,plur
которых NPRO,gent,plur
которыми NPRO,ablt,plur
звёздочки NOUN,gent,plur,femn
ее NPRO,gent,sing,femn
её NPRO,gent,sing,femn
его NPRO,gent,sing,masc
их NPRO,gent,plur
